Index	Disease
231	IgG Deficiency
232	Anemia, Sickle Cell
233	Hyperesthesia
234	Hypernatremia
235	Erythema Nodosum
236	Hyaline Membrane Disease
237	Choristoma
238	Trypanosomiasis, African
239	Angiokeratoma
240	Migraine with Aura
241	Hemorrhage
242	Self Mutilation
243	Tauopathies
244	Cryptosporidiosis
245	Prostatic Neoplasms
246	Menkes Kinky Hair Syndrome
247	Eunuchism
248	Gastric Dilatation
249	Heart Septal Defects, Atrial
250	Amblyopia
251	Amphetamine-Related Disorders
252	Otitis Media
253	Zollinger-Ellison Syndrome
254	Acrodermatitis
255	Gastroparesis
256	Alcoholic Intoxication
257	Leukemia, Myeloid
258	Pemphigus
259	Actinomycosis
260	Neoplasms, Unknown Primary
261	Intestinal Pseudo-Obstruction
262	Obstetric Labor Complications
263	Diabetes Mellitus
264	Hypoglycemia
265	Hematoma, Subdural, Acute
266	Onychomycosis
267	Bone Diseases, Metabolic
268	Sprains and Strains
269	Hypercalcemia
270	Hemangioma, Cavernous, Central Nervous System
271	Memory Disorders
272	Ascorbic Acid Deficiency
273	Spasms, Infantile
274	Heart Septal Defects, Ventricular
275	Opioid-Related Disorders
276	Conversion Disorder
277	Glomerulosclerosis, Focal Segmental
278	Dystonia
279	Cerebral Palsy
280	Abdominal Neoplasms
281	Acid-Base Imbalance
282	Pheochromocytoma
283	Spinocerebellar Degenerations
284	Pancreatic Fistula
285	Arthralgia
286	Drug Hypersensitivity
287	Muscular Dystrophies, Limb-Girdle
288	Acanthosis Nigricans
289	Tuberculosis, Hepatic
290	Intestinal Fistula
291	Retinopathy of Prematurity
292	Brain Infarction
293	Skin Diseases, Parasitic
294	Myotonia Congenita
295	Temporomandibular Joint Disorders
296	Medullary Sponge Kidney
297	Ileus
298	Anus, Imperforate
299	Cranial Nerve Neoplasms
300	Heart Failure
301	Epidermal Cyst
302	Liver Cirrhosis, Biliary
303	Immune Complex Diseases
304	Xanthomatosis
305	Altitude Sickness
306	Tooth Loss
307	Hemoglobin SC Disease
308	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
309	Diabetic Coma
310	Epidural Abscess
311	Respiration Disorders
312	Dermatitis, Seborrheic
313	Mercury Poisoning
314	Facial Nerve Injuries
315	Sphenoid Sinusitis
316	Sudden Infant Death
317	Esophageal Diseases
318	Spastic Paraplegia, Hereditary
319	Bacteroides Infections
320	Plant Poisoning
321	Androgen-Insensitivity Syndrome
322	Lens Subluxation
323	Intervertebral Disk Degeneration
324	Esophagitis, Peptic
325	Mycoplasma Infections
326	Tachycardia, Paroxysmal
327	Hemangioma, Capillary
328	Silicosis
329	Anemia, Macrocytic
330	Fecal Impaction
331	Jaundice
332	Eye Infections, Parasitic
333	Laryngeal Diseases
334	Metabolic Diseases
335	Diphtheria
336	Dental Plaque
337	Hypotension
338	Personality Disorders
339	Blepharoptosis
340	Calciphylaxis
341	Rheumatic Heart Disease
342	Uterine Hemorrhage
343	Erythema Infectiosum
344	Lithiasis
345	Waterhouse-Friderichsen Syndrome
346	Humeral Fractures
347	Insect Bites and Stings
348	Lung Diseases, Interstitial
349	Wilms Tumor
350	Athletic Injuries
351	Scalp Dermatoses
352	Urolithiasis
353	Pregnancy Complications
354	Ecchymosis
355	Fibrosarcoma
356	Liver Failure
357	Trigeminal Neuralgia
358	Athetosis
359	Aortic Aneurysm, Thoracic
360	Paralysis, Obstetric
361	Enteritis
362	Combat Disorders
363	Myasthenia Gravis
364	Neutropenia
365	Multiple Personality Disorder
366	Otitis Media with Effusion
367	Anterior Spinal Artery Syndrome
368	Ankylosis
369	Thalamic Diseases
370	Duodenal Obstruction
371	Nephritis, Hereditary
372	Neuroma
373	Hand Deformities, Acquired
374	Cri-du-Chat Syndrome
375	Pulmonary Heart Disease
376	Orbital Neoplasms
377	Gliosis
378	Hyperbilirubinemia, Neonatal
379	Peutz-Jeghers Syndrome
380	Acidosis, Renal Tubular
381	Bronchial Spasm
382	Pre-Eclampsia
383	Diabetic Angiopathies
384	Osteoarthritis
385	Thromboangiitis Obliterans
386	Facial Asymmetry
387	Heroin Dependence
388	Bronchopulmonary Sequestration
389	Urogenital Abnormalities
390	Nose Diseases
391	Campylobacter Infections
392	Schistosomiasis haematobia
393	Lung Neoplasms
394	Burns, Electric
395	Peritonsillar Abscess
396	Dwarfism
397	Tonsillitis
398	Plaque, Amyloid
399	Meningism
400	Adrenal Cortex Diseases
401	Cardiac Tamponade
402	Subarachnoid Hemorrhage
403	Barrett Esophagus
404	Lupus Vasculitis, Central Nervous System
405	Microphthalmos
406	Sarcoma
407	Maxillofacial Injuries
408	Pulmonary Disease, Chronic Obstructive
409	Klippel-Feil Syndrome
410	Retinal Vein Occlusion
411	Foot Deformities, Congenital
412	Histiocytosis, Langerhans-Cell
413	Carcinoma, Adenoid Cystic
414	Embolism
415	Ichthyosis
416	Embryo Loss
417	Esophageal Perforation
418	Carbohydrate Metabolism, Inborn Errors
419	Retinitis
420	Binge-Eating Disorder
421	Joint Instability
422	Methemoglobinemia
423	Hemifacial Spasm
424	Ependymoma
425	Alkalosis
426	Meningeal Neoplasms
427	Craniosynostoses
428	Anemia, Pernicious
429	Empyema, Subdural
430	Familial Mediterranean Fever
431	Uniparental Disomy
432	Scleritis
433	Aortic Valve Insufficiency
434	Nail Diseases
435	Parotid Neoplasms
436	Vascular Malformations
437	Enterocolitis, Necrotizing
438	Keratoconus
439	Hearing Loss, Functional
440	Heart Injuries
441	Alcohol-Related Disorders
442	Spinal Fractures
443	Arterio-Arterial Fistula
444	Rheumatic Diseases
445	Tuberculosis, Laryngeal
446	Multiple Myeloma
447	Dumping Syndrome
448	Adenoma, Islet Cell
449	Disease Susceptibility
450	Retinal Necrosis Syndrome, Acute
451	Reperfusion Injury
452	Agammaglobulinemia
453	Melanoma
454	Disseminated Intravascular Coagulation
455	Skin Diseases, Viral
456	Obesity Hypoventilation Syndrome
457	Epilepsy, Rolandic
458	Macroglossia
459	Diffuse Cerebral Sclerosis of Schilder
460	Fatty Liver
461	Gastrointestinal Diseases
462	Hand Injuries
463	Endocarditis
464	Genital Neoplasms, Female
465	Substance-Related Disorders
466	Oculomotor Nerve Diseases
467	Hearing Loss
468	Lymphoma, Large B-Cell, Diffuse
469	Mediastinal Diseases
470	Aortic Aneurysm
471	Pulmonary Emphysema
472	Tuberculosis, Pleural
473	Coronary Stenosis
474	Taste Disorders
475	Cerebrospinal Fluid Otorrhea
476	Intracranial Hemorrhages
477	Corneal Diseases
478	Tooth Discoloration
479	Hyperalgesia
480	Nocardia Infections
481	Hip Dislocation
482	Rickets
483	Polycythemia
484	Arterial Occlusive Diseases
485	Infertility, Male
486	Nose Deformities, Acquired
487	Measles
488	Mandibular Diseases
489	Hypokalemia
490	Ulcer
491	Craniofacial Abnormalities
492	Leg Injuries
493	Plasmacytoma
494	Parasitemia
495	Earache
496	Disorders of Sex Development
497	Sciatica
498	Brain Death
499	Spinal Diseases
500	Orchitis
501	Myotonic Dystrophy
502	Mycobacterium avium-intracellulare Infection
503	Polychondritis, Relapsing
504	Tic Disorders
505	Anti-Glomerular Basement Membrane Disease
506	Ascariasis
507	Embolism, Air
508	Miller Fisher Syndrome
509	Purpura, Hyperglobulinemic
510	Lupus Nephritis
511	Reflex Sympathetic Dystrophy
512	Strongylida Infections
513	Thyroiditis, Autoimmune
514	Hemoglobinuria, Paroxysmal
515	Tracheal Neoplasms
516	Pharyngeal Diseases
517	alpha 1-Antitrypsin Deficiency
518	Surgical Wound Dehiscence
519	Ataxia Telangiectasia
520	Coma
521	Nephritis
522	Asbestosis
523	Duodenal Ulcer
524	Wernicke Encephalopathy
525	Pancreatitis, Chronic
526	Hernia, Ventral
527	Acrocephalosyndactylia
528	Monoclonal Gammopathy of Undetermined Significance
529	Folic Acid Deficiency
530	Malformations of Cortical Development
531	Fuchs' Endothelial Dystrophy
532	Keratoconjunctivitis
533	Tonic Pupil
534	Hepatitis, Chronic
535	Brain Injuries
536	Pulmonary Atelectasis
537	Bronchogenic Cyst
538	Oral Ulcer
539	Whiplash Injuries
540	Neoplasms, Experimental
541	Myosarcoma
542	Skin Diseases, Papulosquamous
543	Glossalgia
544	Atrial Fibrillation
545	Erectile Dysfunction
546	Spondylolisthesis
547	Dental Enamel Hypoplasia
548	Adrenocortical Hyperfunction
549	Presbyopia
550	Lipomatosis
551	Sensation Disorders
552	Fat Necrosis
553	Channelopathies
554	Myocardial Infarction
555	Hypercholesterolemia
556	Olivopontocerebellar Atrophies
557	Adrenoleukodystrophy
558	Myoclonic Cerebellar Dyssynergia
559	Polyradiculoneuropathy
560	High Pressure Neurological Syndrome
561	Collagen Diseases
562	Neoplasms, Neuroepithelial
563	Pulmonary Fibrosis
564	Brucellosis
565	Gingival Diseases
566	MELAS Syndrome
567	Angelman Syndrome
568	Lymphocytosis
569	Pulpitis
570	Pneumococcal Infections
571	Laryngeal Edema
572	Refractive Errors
573	Factitious Disorders
574	Uveitis, Anterior
575	Ear Diseases
576	Myoclonic Epilepsy, Juvenile
577	Mycoses
578	Heart Rupture, Post-Infarction
579	Fibroma
580	Sinusitis
581	Chlamydophila Infections
582	Vasculitis
583	Proctitis
584	Coronary Disease
585	Postural Orthostatic Tachycardia Syndrome
586	Cleft Palate
587	Magnesium Deficiency
588	Mutism
589	Lens Diseases
590	Sweating, Gustatory
591	Mercury Poisoning, Nervous System
592	Orthostatic Intolerance
593	Cerebrovascular Disorders
594	Anisakiasis
595	Pneumonia, Aspiration
596	Coronary Restenosis
597	Neoplasm Recurrence, Local
598	Uterine Prolapse
599	Giant Lymph Node Hyperplasia
600	Stiff-Person Syndrome
601	Arachnoid Cysts
602	Alzheimer Disease
603	Cholecystolithiasis
604	Myocarditis
605	Parkinson Disease
606	Syringomyelia
607	Leukoencephalitis, Acute Hemorrhagic
608	Aspergillosis
609	Amyloid Neuropathies, Familial
610	Shock, Traumatic
611	Leptospirosis
612	Dyspnea, Paroxysmal
613	Akathisia, Drug-Induced
614	Dyslipidemias
615	Toothache
616	Bronchopneumonia
617	Chorea
618	Stevens-Johnson Syndrome
619	Panniculitis
620	Trachoma
621	Protein C Deficiency
622	Multiple Endocrine Neoplasia
623	Diabetic Ketoacidosis
624	Hyperuricemia
625	Meningitis, Aseptic
626	Foot Deformities, Acquired
627	Mesenteric Vascular Occlusion
628	Thyroiditis, Subacute
629	Esophageal Fistula
630	Typhus, Endemic Flea-Borne
631	Neural Tube Defects
632	Liver Abscess
633	Laryngeal Neoplasms
634	Brain Edema
635	Enophthalmos
636	Scarlet Fever
637	Myopathies, Nemaline
638	Epilepsy, Absence
639	Abdominal Abscess
640	Oligomenorrhea
641	Fetal Nutrition Disorders
642	Hypothyroidism
643	Eosinophilia
644	Leukomalacia, Periventricular
645	Lactation Disorders
646	Ganglioglioma
647	Carotid Body Tumor
648	Diverticulum, Esophageal
649	Short Bowel Syndrome
650	Lung Diseases, Fungal
651	Ectodermal Dysplasia
652	Adrenal Gland Neoplasms
653	Water Intoxication
654	Vibrio Infections
655	Scabies
656	Tonsillar Neoplasms
657	Radiation Injuries, Experimental
658	Perceptual Disorders
659	Tabes Dorsalis
660	Dermatitis, Allergic Contact
661	Psychomotor Disorders
662	Histoplasmosis
663	Sneddon Syndrome
664	Hemoperitoneum
665	Fasciitis, Necrotizing
666	Metal Metabolism, Inborn Errors
667	Ergotism
668	Voice Disorders
669	Neuroblastoma
670	Guillain-Barre Syndrome
671	Dizziness
672	Ureteral Diseases
673	Meningitis
674	Neuritis
675	Bell Palsy
676	Capgras Syndrome
677	Cholangiocarcinoma
678	Gynecomastia
679	Transsexualism
680	Vestibulocochlear Nerve Diseases
681	Epidermal Necrolysis, Toxic
682	Coronary Artery Disease
683	Cough
684	Carcinoma, Papillary
685	Intestinal Diseases, Parasitic
686	Lipodystrophy
687	Muscular Dystrophy, Duchenne
688	Agricultural Workers' Diseases
689	Renal Aminoacidurias
690	Polycystic Kidney, Autosomal Dominant
691	Cholestasis
692	Mental Retardation, X-Linked
693	Hematocolpos
694	Anencephaly
695	Illusions
696	Myotonic Disorders
697	Keratitis
698	REM Sleep Behavior Disorder
699	Burns, Inhalation
700	Exanthema
701	Cockayne Syndrome
702	Peritoneal Diseases
703	Hepatic Encephalopathy
704	Mandibular Fractures
705	Olfaction Disorders
706	Hypersensitivity, Immediate
707	Muscle Spasticity
708	Osteoblastoma
709	Death, Sudden, Cardiac
710	Clubfoot
711	Nerve Sheath Neoplasms
712	Thecoma
713	Optic Neuropathy, Ischemic
714	Pica
715	Renal Insufficiency
716	Somnambulism
717	Oligohydramnios
718	Optic Atrophy
719	Night Blindness
720	Hypertelorism
721	Dysgammaglobulinemia
722	Hematoma, Epidural, Spinal
723	Arnold-Chiari Malformation
724	Tuberculosis, Meningeal
725	West Nile Fever
726	Fasciculation
727	Herpes Zoster
728	Hypohidrosis
729	Pregnancy, Ectopic
730	Heat Stroke
731	Oral Manifestations
732	Abortion, Veterinary
733	Shoulder Pain
734	Leukemia, Lymphocytic, Chronic, B-Cell
735	Hematoma, Subdural, Spinal
736	Dislocations
737	Sialadenitis
738	Ophthalmoplegia, Chronic Progressive External
739	Toxoplasmosis, Congenital
740	Encephalomyelitis, Autoimmune, Experimental
741	Hyperostosis, Cortical, Congenital
742	Anemia, Neonatal
743	Cystocele
744	Giant Cell Arteritis
745	Hypertension, Renovascular
746	Vitamin E Deficiency
747	Leishmaniasis, Visceral
748	Infertility
749	Empyema
750	Meconium Aspiration Syndrome
751	Polycystic Ovary Syndrome
752	Developmental Disabilities
753	Epidural Neoplasms
754	Muscle Rigidity
755	Neurofibromatosis 2
756	Lichen Planus
757	Neurofibromatosis 1
758	Lordosis
759	Brain Injury, Chronic
760	Choroid Diseases
761	Klippel-Trenaunay-Weber Syndrome
762	Fetal Macrosomia
763	Nephrotic Syndrome
764	Rocky Mountain Spotted Fever
765	Toxoplasmosis
766	Stomach Volvulus
767	Gram-Negative Bacterial Infections
768	Ganglioneuroblastoma
769	Digestive System Neoplasms
770	Lymphohistiocytosis, Hemophagocytic
771	Choroiditis
772	Turner Syndrome
773	Polycystic Kidney Diseases
774	Tularemia
775	Ulnar Nerve Compression Syndromes
776	Brachial Plexus Neuritis
777	Liver Cirrhosis, Alcoholic
778	Meningoencephalitis
779	Language Disorders
780	Rotavirus Infections
781	Hematometra
782	Anxiety Disorders
783	Testicular Diseases
784	Carcinoma in Situ
785	Sarcoma, Yoshida
786	Lung Diseases
787	Myocardial Bridging
788	Uremia
789	Aortic Diseases
790	Lung Diseases, Obstructive
791	Psoas Abscess
792	Myeloproliferative Disorders
793	Hypoxia-Ischemia, Brain
794	Muscular Disorders, Atrophic
795	Microvascular Angina
796	Polyneuropathies
797	Posterior Leukoencephalopathy Syndrome
798	Pyoderma Gangrenosum
799	Epidermolysis Bullosa Dystrophica
800	Cardiac Output, Low
801	Pneumonia, Pneumococcal
802	Essential Tremor
803	Purine-Pyrimidine Metabolism, Inborn Errors
804	Wounds, Penetrating
805	Hypoventilation
806	Adenoma, Chromophobe
807	Lesch-Nyhan Syndrome
808	Joint Diseases
809	Pelvic Infection
810	Malocclusion
811	Leukoencephalopathy, Progressive Multifocal
812	alpha-Thalassemia
813	Craniopharyngioma
814	Carcinoma 256, Walker
815	Tetralogy of Fallot
816	Typhoid Fever
817	Edema, Cardiac
818	Miosis
819	Leukemic Infiltration
820	Tension-Type Headache
821	Drug-Induced Liver Injury
822	Dermatitis, Occupational
823	Fasciitis
824	Biliary Dyskinesia
825	Cerebellar Neoplasms
826	Neurocirculatory Asthenia
827	Still's Disease, Adult-Onset
828	Headache Disorders
829	Retinal Drusen
830	Primary Ovarian Insufficiency
831	Roseolovirus Infections
832	Pneumopericardium
833	Knee Injuries
834	Jejunal Neoplasms
835	Sepsis
836	Child Development Disorders, Pervasive
837	Ventricular Fibrillation
838	Eye Burns
839	Ascites
840	Cholecystitis
841	Limb Deformities, Congenital
842	Pulmonary Valve Stenosis
843	Parkinsonian Disorders
844	Hematoma, Subdural
845	Ectoparasitic Infestations
846	Encephalomyelitis
847	Enuresis
848	Diabetic Foot
849	Myokymia
850	Insulinoma
851	Anemia, Hemolytic, Autoimmune
852	Femoral Neck Fractures
853	Vestibular Diseases
854	Dermatitis Herpetiformis
855	Mandibulofacial Dysostosis
856	Munchausen Syndrome
857	IgA Deficiency
858	Pituitary Neoplasms
859	Myxoma
860	Mallory-Weiss Syndrome
861	Progeria
862	Leg Dermatoses
863	Orbital Fractures
864	Heart Neoplasms
865	Sarcoma, Ewing's
866	Purpura, Thrombotic Thrombocytopenic
867	Neoplasms, Germ Cell and Embryonal
868	Tachycardia, Sinus
869	Intestinal Diseases
870	Optic Nerve Injuries
871	Thalassemia
872	Schizophrenia, Disorganized
873	Lactose Intolerance
874	Lathyrism
875	Lymphoma
876	Schizophrenia, Childhood
877	Pierre Robin Syndrome
878	Reflex, Babinski
879	Opportunistic Infections
880	Peptic Ulcer Perforation
881	Exocrine Pancreatic Insufficiency
882	Fungemia
883	Dental Caries
884	Peripheral Nervous System Neoplasms
885	Spondylarthritis
886	Macular Edema
887	Cholera
888	Pseudomonas Infections
889	Capillary Leak Syndrome
890	Contusions
891	Intracranial Arteriovenous Malformations
892	Aneurysm, Dissecting
893	Trisomy
894	Prenatal Exposure Delayed Effects
895	Encephalitis, Viral
896	Tourette Syndrome
897	DiGeorge Syndrome
898	Encephalitis, Varicella Zoster
899	Radiculopathy
900	Anemia, Aplastic
901	Dermatitis
902	Tuberculosis, Gastrointestinal
903	Ear Deformities, Acquired
904	Congenital Abnormalities
905	Colonic Polyps
906	Toxoplasmosis, Ocular
907	Postpartum Hemorrhage
908	Wrist Injuries
909	Dysphonia
910	Peripheral Vascular Diseases
911	Thromboembolism
912	Meningomyelocele
913	Respiratory Hypersensitivity
914	Ehlers-Danlos Syndrome
915	Retinal Neoplasms
916	von Willebrand Diseases
917	Impotence, Vasculogenic
918	Blood Coagulation Disorders
919	Fetomaternal Transfusion
920	Ochronosis
921	Adenomatous Polyposis Coli
922	Tuberculoma
923	Vision, Low
924	Blister
925	Corneal Wavefront Aberration
926	Wasting Syndrome
927	Bartonella Infections
928	Thrombocythemia, Essential
929	Ileal Diseases
930	Encephalocele
931	Shock, Septic
932	Tuberculosis, Female Genital
933	Median Neuropathy
934	Urinary Fistula
935	Purpura, Thrombocytopenic, Idiopathic
936	Sleep Deprivation
937	Foot Injuries
938	Head Injuries, Closed
939	Hyperparathyroidism, Primary
940	Leukemia
941	Osteoarthropathy, Secondary Hypertrophic
942	Onchocerciasis
943	Neurosyphilis
944	Muscle Hypertonia
945	Abortion, Threatened
946	Mitral Valve Insufficiency
947	beta-Thalassemia
948	Osteosclerosis
949	Bronchitis
950	Weil Disease
951	Corneal Opacity
952	Moyamoya Disease
953	Thoracic Diseases
954	Spondylarthropathies
955	Cryoglobulinemia
956	Whipple Disease
957	Tuberculosis, Osteoarticular
958	Superior Mesenteric Artery Syndrome
959	Hypokinesia
960	Aspergillosis, Allergic Bronchopulmonary
961	Epilepsy, Frontal Lobe
962	Pericardial Effusion
963	Prolactinoma
964	Echovirus Infections
965	Hypertriglyceridemia
966	Goiter, Nodular
967	Autoimmune Diseases
968	Lipid Metabolism, Inborn Errors
969	Serum Sickness
970	Cerebral Amyloid Angiopathy
971	Cushing Syndrome
972	Nerve Degeneration
973	Eyelid Diseases
974	Blepharospasm
975	Barotrauma
976	Hematologic Diseases
977	Hypertension, Pregnancy-Induced
978	Hyperaldosteronism
979	Fractures, Spontaneous
980	Gout
981	Aortic Coarctation
982	Dehydration
983	Bile Duct Diseases
984	Gingivitis
985	Giant Cell Tumors
986	Photosensitivity Disorders
987	Down Syndrome
988	Pulmonary Edema
989	Hyperkalemia
990	Hearing Disorders
991	Compartment Syndromes
992	Osteochondritis
993	Ovarian Cysts
994	Gangrene
995	Optic Atrophy, Hereditary, Leber
996	Polyhydramnios
997	Neurilemmoma
998	Schizophrenia, Paranoid
999	Otosclerosis
1000	Mesenteric Lymphadenitis
1001	Carcinoid Tumor
1002	HIV Seropositivity
1003	Peptic Ulcer Hemorrhage
1004	Glossopharyngeal Nerve Diseases
1005	Arrhythmogenic Right Ventricular Dysplasia
1006	Pregnancy Complications, Parasitic
1007	Transposition of Great Vessels
1008	Lightning Injuries
1009	Chorioretinitis
1010	Ciliary Motility Disorders
1011	Thrombosis
1012	Adrenal Insufficiency
1013	Cerebral Infarction
1014	Adrenal Gland Diseases
1015	Anthrax
1016	Paresis
1017	Communication Disorders
1018	Adenocarcinoma, Mucinous
1019	Dermatitis, Contact
1020	Hemorrhoids
1021	Brain Concussion
1022	Glycogen Storage Disease
1023	WAGR Syndrome
1024	Leiomyoma
1025	Diabetes Complications
1026	Uterine Cervical Diseases
1027	Orbital Diseases
1028	Learning Disorders
1029	Biliary Tract Neoplasms
1030	Intracranial Aneurysm
1031	Limbic Encephalitis
1032	Rectocele
1033	Marfan Syndrome
1034	Kwashiorkor
1035	Xeroderma Pigmentosum
1036	Diabetes Mellitus, Experimental
1037	Hypophosphatemia
1038	Dysentery
1039	Muscle Hypotonia
1040	Orthomyxoviridae Infections
1041	Optic Atrophies, Hereditary
1042	Erdheim-Chester Disease
1043	Cerebellar Diseases
1044	Colitis, Ulcerative
1045	Hand Dermatoses
1046	Tics
1047	Sarcoidosis
1048	Intracranial Embolism
1049	Ulnar Neuropathies
1050	Insulin Resistance
1051	Lewy Body Disease
1052	Gonorrhea
1053	Corynebacterium Infections
